,ID,O_LON,O_LAT,CLUSTER_LABEL
948,948,116.425938,39.956438,cluster4
950,950,116.37364,39.933317,cluster31
958,958,116.42597,39.89252,cluster17
959,959,116.4596,40.00736,cluster26
960,960,116.42084,39.90405,cluster17
965,965,116.373825,39.877468,cluster20
967,967,116.322975,39.900265,cluster2
968,968,116.31375,39.894866,cluster2
969,969,116.359392,39.980577,cluster1
973,973,116.380545,39.857552,cluster13
976,976,116.4671,39.982116,cluster6
977,977,116.36358,39.97928,cluster1
979,979,116.3665,39.86016,cluster13
980,980,116.337715,39.975361,cluster1
984,984,116.234203,39.902593,cluster30
986,986,116.424757,39.981475,cluster3
987,987,116.31794,39.89831,cluster2
989,989,116.326953,39.975168,cluster18
991,991,116.42588,39.89615,cluster17
994,994,116.35014,39.910293,cluster12
995,995,116.416922,39.987298,cluster3
996,996,116.332,39.975,cluster18
999,999,116.346516,39.902216,cluster25
1001,1001,116.32666,39.89572,cluster2
1005,1005,116.427898,39.925365,cluster19
1008,1008,116.3433,39.92531,cluster12
1012,1012,116.316063,39.895233,cluster2
1013,1013,116.4259,39.9582,cluster4
1019,1019,116.379933,39.86405,cluster13
1026,1026,116.44699,39.95001,cluster4
1027,1027,116.44685,39.95119,cluster4
1028,1028,116.460861,39.926601,cluster0
1034,1034,116.417116,39.89595,cluster17
1039,1039,116.6109,40.050066,cluster34
1040,1040,116.366478,39.940167,cluster35
1041,1041,116.45665,40.000816,cluster21
1045,1045,116.365379,39.952438,cluster16
1054,1054,116.38064,39.86965,cluster13
1056,1056,116.40123,39.97257,cluster10
1058,1058,116.389999,39.855518,cluster13
1059,1059,116.421223,39.967758,cluster10
1067,1067,116.44759,39.906593,cluster8
1074,1074,116.47195,39.9277,cluster0
1081,1081,116.31357,39.89494,cluster2
1086,1086,116.47147,39.90726,cluster14
1087,1087,116.44589,39.96639,cluster4
1088,1088,116.46097,40.01054,cluster26
1093,1093,116.46743,39.912304,cluster14
1098,1098,116.434852,39.964945,cluster4
1105,1105,116.38832,39.97049,cluster10
1106,1106,116.34263,39.97207,cluster1
1107,1107,116.466616,39.9299,cluster0
1110,1110,116.42849,39.955971,cluster4
1116,1116,116.42874,39.92112,cluster19
1118,1118,116.37903,39.86233,cluster13
1119,1119,116.4285,39.93665,cluster4
1122,1122,116.405048,39.963707,cluster10
1129,1129,116.433222,39.935157,cluster4
1130,1130,116.46307,39.99653,cluster21
1137,1137,116.39453,39.9501,cluster16
1142,1142,116.310051,39.881123,cluster2
1144,1144,116.34631,39.92202,cluster12
1154,1154,116.40179,39.97687,cluster10
1165,1165,116.35945,39.980716,cluster1
1169,1169,116.329063,39.887348,cluster27
1170,1170,116.3826,39.86807,cluster13
1171,1171,116.36667,39.93343,cluster31
1174,1174,116.4621,39.98429,cluster6
1175,1175,116.4082,39.91466,cluster7
1178,1178,116.46369,39.97684,cluster6
1179,1179,116.38163,39.85967,cluster13
1183,1183,116.452467,39.991643,cluster21
1184,1184,116.344437,39.873509,cluster9
1186,1186,116.36947,39.863728,cluster13
1187,1187,116.348683,39.98005,cluster1
1192,1192,116.44418,39.95247,cluster4
1197,1197,116.456857,39.943718,cluster4
1199,1199,116.38772,39.94472,cluster16
1201,1201,116.475433,39.932415,cluster0
1203,1203,116.42093,39.90612,cluster17
1208,1208,116.466963,39.907058,cluster14
1210,1210,116.323166,39.895916,cluster2
1216,1216,116.47181,39.91071,cluster14
1218,1218,116.3434,39.9312,cluster32
1220,1220,116.456372,39.932897,cluster0
1221,1221,116.34752,39.97523,cluster1
1224,1224,116.46737,39.99406,cluster21
1226,1226,116.34817,39.97449,cluster1
1228,1228,116.344333,39.874483,cluster9
1230,1230,116.437993,39.971958,cluster4
1233,1233,116.279425,39.86454,cluster24
1234,1234,116.471683,39.910313,cluster14
1238,1238,116.4413,39.961233,cluster4
1247,1247,116.438423,39.939861,cluster4
1248,1248,116.455284,39.904572,cluster8
1249,1249,116.326616,39.993533,cluster29
1250,1250,116.43305,39.94854,cluster4
1252,1252,116.41422,39.99277,cluster3
1253,1253,116.35793,39.938927,cluster35
1255,1255,116.32754,39.974278,cluster18
1257,1257,116.343483,39.922951,cluster12
1259,1259,116.35364,39.9197,cluster12
1262,1262,116.363966,39.963616,cluster5
1264,1264,116.3467,39.89557,cluster25
1265,1265,116.320969,39.898701,cluster2
1267,1267,116.387477,39.966597,cluster10
1269,1269,116.45159,39.99533,cluster21
1277,1277,116.367989,39.874489,cluster20
1282,1282,116.344566,39.944483,cluster15
1283,1283,116.41575,39.99245,cluster3
1287,1287,116.40137,39.97374,cluster10
1288,1288,116.368183,39.876183,cluster20
1292,1292,116.349823,39.932582,cluster32
1295,1295,116.45514,39.95815,cluster4
1299,1299,116.438563,39.949965,cluster4
1304,1304,116.313782,39.892002,cluster2
1308,1308,116.36344,39.966552,cluster5
1310,1310,116.44191,39.97185,cluster4
1311,1311,116.33221,39.99162,cluster29
1319,1319,116.34721,39.92636,cluster32
1320,1320,116.407566,39.91085,cluster7
1324,1324,116.44547,39.96574,cluster4
1330,1330,116.379416,39.863033,cluster13
1331,1331,116.41649,39.89184,cluster17
1332,1332,116.381566,39.867833,cluster13
1333,1333,116.36371,39.97719,cluster1
1336,1336,116.368317,39.979149,cluster1
1337,1337,116.477425,39.991772,cluster28
1338,1338,116.437783,39.939805,cluster4
1339,1339,116.43414,39.92693,cluster19
1341,1341,116.32736,39.98014,cluster18
1342,1342,116.45579,39.94544,cluster4
1346,1346,116.378516,39.881966,cluster11
1347,1347,116.44065,39.92564,cluster19
1348,1348,116.448116,39.958233,cluster4
1349,1349,116.342572,39.878692,cluster9
1350,1350,116.34929,39.93404,cluster15
1351,1351,116.3326,39.96954,cluster18
1352,1352,116.443483,39.95415,cluster4
1354,1354,116.42274,39.96839,cluster10
1356,1356,116.36727,39.87712,cluster20
1357,1357,116.4117,39.965583,cluster10
1358,1358,116.37306,39.865372,cluster13
1361,1361,116.373816,39.970833,cluster5
1364,1364,116.34676,39.92228,cluster12
1367,1367,116.42014,39.93502,cluster4
1371,1371,116.412466,39.8999,cluster17
1373,1373,116.42429,39.896025,cluster17
1379,1379,116.443001,39.948372,cluster4
1380,1380,116.515107,39.922633,cluster22
1381,1381,116.462025,39.995593,cluster21
1382,1382,116.46922,40.00074,cluster21
1384,1384,116.343842,39.972088,cluster1
1388,1388,116.34687,39.97062,cluster1
1391,1391,116.421732,39.982053,cluster3
1395,1395,116.418563,39.89221,cluster17
1399,1399,116.51161,39.92157,cluster22
1403,1403,116.32209,39.88329,cluster2
1404,1404,116.41794,39.98422,cluster3
1408,1408,116.51044,39.92185,cluster22
1409,1409,116.309998,39.886025,cluster2
1413,1413,116.36335,39.9813,cluster1
1416,1416,116.32248,39.89218,cluster2
1418,1418,116.369644,39.881977,cluster20
1422,1422,116.31777,39.88306,cluster2
1423,1423,116.369507,39.933697,cluster31
1426,1426,116.418516,39.9681,cluster10
1427,1427,116.42547,39.89276,cluster17
1428,1428,116.46414,39.98062,cluster6
1432,1432,116.47163,39.9039,cluster14
1435,1435,116.34993,39.93056,cluster32
1438,1438,116.43578,39.95385,cluster4
1440,1440,116.321865,39.895627,cluster2
1445,1445,116.35948,39.97594,cluster1
1451,1451,116.235161,39.896061,cluster30
1453,1453,116.366898,39.87707,cluster20
1454,1454,116.346664,39.912571,cluster12
1457,1457,116.466433,39.999416,cluster21
1459,1459,116.46422,39.97658,cluster6
1460,1460,116.441284,39.971638,cluster4
1462,1462,116.31095,39.899266,cluster2
1467,1467,116.32466,39.97174,cluster18
1473,1473,116.42445,39.96086,cluster4
1475,1475,116.42138,39.96808,cluster10
1477,1477,116.31351,39.89516,cluster2
1487,1487,116.47195,39.98737,cluster33
1488,1488,116.41787,39.9882,cluster3
1490,1490,116.383,39.885016,cluster11
1496,1496,116.3168,39.89548,cluster2
1499,1499,116.45694,39.9905,cluster21
1501,1501,116.4764,39.93,cluster0
1502,1502,116.34705,39.89724,cluster25
1503,1503,116.42275,39.90693,cluster17
1506,1506,116.46342,39.90919,cluster14
1509,1509,116.35027,39.91371,cluster12
1515,1515,116.38948,39.885,cluster11
1518,1518,116.348527,39.876587,cluster9
1524,1524,116.463987,40.01294,cluster26
1526,1526,116.326797,39.97514,cluster18
1530,1530,116.36845,39.931283,cluster31
1531,1531,116.30452,39.88213,cluster2
1534,1534,116.453285,39.987915,cluster21
1535,1535,116.43554,39.94843,cluster4
1536,1536,116.436279,39.948246,cluster4
1541,1541,116.449616,39.95905,cluster4
1546,1546,116.45965,40.00823,cluster26
1548,1548,116.46076,39.92785,cluster0
1551,1551,116.334088,39.975043,cluster18
1552,1552,116.425833,39.953066,cluster4
1553,1553,116.36426,39.963153,cluster5
1554,1554,116.36447,39.98627,cluster1
1555,1555,116.463547,39.90757,cluster14
1559,1559,116.456749,39.922199,cluster0
1560,1560,116.412657,39.893927,cluster17
1563,1563,116.344078,39.901779,cluster25
1564,1564,116.45163,39.99473,cluster21
1565,1565,116.339088,39.975174,cluster1
1567,1567,116.45301,39.96181,cluster4
1570,1570,116.42461,39.94329,cluster4
1571,1571,116.40689,39.96366,cluster10
1580,1580,116.427905,39.9373,cluster4
1582,1582,116.45992,39.97694,cluster6
1588,1588,116.3052,39.896482,cluster2
1589,1589,116.395927,39.963845,cluster10
1591,1591,116.36433,39.85842,cluster13
1594,1594,116.3873,39.87934,cluster11
1595,1595,116.468366,39.975733,cluster6
1596,1596,116.361237,39.942703,cluster35
1601,1601,116.36494,39.86842,cluster13
1602,1602,116.395941,39.969348,cluster10
1609,1609,116.346366,39.9062,cluster12
1611,1611,116.449211,39.948792,cluster4
1613,1613,116.34105,39.898207,cluster25
1614,1614,116.460283,39.9792,cluster6
1621,1621,116.3045,39.89404,cluster2
1624,1624,116.304583,39.8883,cluster2
1626,1626,116.387558,39.882225,cluster11
1627,1627,116.415602,39.968203,cluster10
1628,1628,116.349328,39.901675,cluster25
1629,1629,116.335403,39.886742,cluster27
1630,1630,116.45673,39.99012,cluster21
1633,1633,116.42012,39.98209,cluster3
1634,1634,116.367816,39.877266,cluster20
1635,1635,116.41965,39.936766,cluster4
1639,1639,116.426575,39.923265,cluster19
1640,1640,116.46316,39.99659,cluster21
1641,1641,116.42135,39.89251,cluster17
1646,1646,116.31385,39.89191,cluster2
1651,1651,116.31728,39.89493,cluster2
1652,1652,116.341816,39.91715,cluster12
1654,1654,116.418518,39.972431,cluster10
1657,1657,116.452927,39.995808,cluster21
1658,1658,116.365466,39.9506,cluster16
1661,1661,116.32821,39.99152,cluster29
1664,1664,116.38815,39.94739,cluster16
1667,1667,116.370883,39.949866,cluster16
1672,1672,116.452133,39.965683,cluster4
1675,1675,116.46078,39.927223,cluster0
1679,1679,116.4591,40.00005,cluster21
1682,1682,116.43103,39.93206,cluster4
1687,1687,116.45435,40.01016,cluster26
1689,1689,116.36564,39.94952,cluster16
1694,1694,116.45133,39.91207,cluster8
1703,1703,116.42596,39.95625,cluster4
1707,1707,116.611355,40.049363,cluster34
1709,1709,116.46448,39.98635,cluster21
1711,1711,116.41144,39.99379,cluster3
1712,1712,116.36342,39.97976,cluster1
1715,1715,116.424716,39.98665,cluster3
1728,1728,116.462866,39.996366,cluster21
1729,1729,116.44198,39.94961,cluster4
1730,1730,116.42578,39.92042,cluster19
1733,1733,116.444133,39.9588,cluster4
1734,1734,116.365727,39.858862,cluster13
1741,1741,116.349083,39.94255,cluster15
1742,1742,116.34228,39.87621,cluster9
1743,1743,116.46706,39.90684,cluster14
1744,1744,116.37892,39.86241,cluster13
1747,1747,116.316072,39.896033,cluster2
1748,1748,116.43704,39.97443,cluster4
1751,1751,116.45241,39.90825,cluster8
1752,1752,116.349213,39.935726,cluster15
1753,1753,116.40134,39.9701,cluster10
1755,1755,116.61072,40.04983,cluster34
1756,1756,116.473893,39.907157,cluster14
1763,1763,116.42479,39.89449,cluster17
1764,1764,116.460802,39.922298,cluster0
1771,1771,116.368097,39.881012,cluster20
1779,1779,116.31605,39.89526,cluster2
1783,1783,116.3736,39.95007,cluster16
1784,1784,116.42075,39.935,cluster4
1792,1792,116.4553,39.90639,cluster8
1796,1796,116.393509,39.962067,cluster10
1797,1797,116.48024,39.98865,cluster28
1811,1811,116.312668,39.895924,cluster2
1816,1816,116.320786,39.883129,cluster2
1824,1824,116.429328,39.905927,cluster17
1825,1825,116.42057,39.91135,cluster17
1827,1827,116.3366,39.88556,cluster27
1830,1830,116.32647,39.99429,cluster29
1837,1837,116.320351,39.884865,cluster2
1838,1838,116.44377,39.92559,cluster19
1839,1839,116.3952,39.96772,cluster10
1840,1840,116.345633,39.94095,cluster15
1841,1841,116.35099,39.888197,cluster23
1842,1842,116.363316,39.877,cluster20
1843,1843,116.44739,39.95065,cluster4
1846,1846,116.4521,39.95425,cluster4
1848,1848,116.346477,39.901495,cluster25
1849,1849,116.46817,39.90449,cluster14
1852,1852,116.33179,39.97675,cluster18
1855,1855,116.43555,39.939716,cluster4
1857,1857,116.430066,39.919483,cluster19
1869,1869,116.436676,39.953667,cluster4
1872,1872,116.46906,39.909267,cluster14
1873,1873,116.304618,39.888122,cluster2
1875,1875,116.313703,39.895237,cluster2
1876,1876,116.43344,39.95261,cluster4
1877,1877,116.34734,39.88077,cluster9
1882,1882,116.45505,39.94831,cluster4
1887,1887,116.46283,39.99632,cluster21
1892,1892,116.36469,39.88156,cluster20
1895,1895,116.46767,39.99724,cluster21
1900,1900,116.35113,39.97528,cluster1
1904,1904,116.46476,39.98353,cluster6
1908,1908,116.3774,39.855466,cluster13
1909,1909,116.432258,39.982262,cluster3
1917,1917,116.338766,39.909466,cluster12
1918,1918,116.34762,39.97528,cluster1
1920,1920,116.311195,39.882916,cluster2
