ID,ID,O_LON,O_LAT,CLUSTER_LABEL
7598,7598,116.33177,39.97485,cluster0
16683,16683,116.257668,39.899006,cluster0
10927,10927,116.40333,39.97573,cluster0
894,894,116.3955,39.97162,cluster0
12395,12395,116.28472,39.89605,cluster0
8476,8476,116.3361,39.9361,cluster0
10113,10113,116.280627,39.9116,cluster0
14419,14419,116.4019,39.95166,cluster0
2096,2096,116.286278,39.835038,cluster0
1043,1043,116.30227,39.95807,cluster0
2991,2991,116.37349,39.94349,cluster0
9709,9709,116.268166,39.892693,cluster0
9744,9744,116.3712,39.980866,cluster0
2315,2315,116.49574,39.9351,cluster0
4069,4069,116.424698,39.979939,cluster0
12439,12439,116.410469,40.044403,cluster0
12548,12548,116.3693,39.86312,cluster0
6338,6338,116.39171,39.953,cluster0
14848,14848,116.595083,39.911283,cluster0
15127,15127,116.33276,39.9693,cluster0
12673,12673,116.439034,39.85294,cluster0
5867,5867,116.45449,39.99959,cluster0
6910,6910,116.33082,39.87252,cluster0
9346,9346,116.303262,39.865638,cluster0
10494,10494,116.48034,39.96984,cluster0
14227,14227,116.16143,39.92278,cluster0
15049,15049,116.460259,39.979199,cluster0
136,136,116.416065,39.87214,cluster0
1023,1023,116.27718,39.91256,cluster0
9468,9468,116.410736,39.982079,cluster0
3316,3316,116.32183,39.89552,cluster0
4058,4058,116.33382,40.03872,cluster0
14343,14343,116.235245,39.949345,cluster0
9837,9837,116.55092,39.96411,cluster0
7832,7832,116.455233,39.950233,cluster0
15169,15169,116.314938,39.966063,cluster0
15305,15305,116.32222,39.847903,cluster0
8761,8761,116.37671,39.96655,cluster0
7989,7989,116.302,39.896,cluster0
10873,10873,116.410525,39.994145,cluster0
17347,17347,116.323463,39.906003,cluster0
512,512,116.353127,39.929188,cluster0
9357,9357,116.350233,39.88205,cluster0
16596,16596,116.418393,39.979172,cluster0
3863,3863,116.28873,39.94809,cluster0
954,954,116.311371,39.856915,cluster0
10750,10750,116.455452,39.906914,cluster0
7236,7236,116.346417,39.88842,cluster0
